OTU_ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27
ASV1	0	0	0	0	0	0	0	0	0	0	4.52509E-05	0	0	0.000135753	0	0	0	9.05018E-05	0	0	0	0	0	0	0	0	0
ASV10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.52509E-05
ASV20	0	0.000678764	0.000859767	0.000316756	0.001357527	0.001357527	0.001900538	0.001086022	0.001674284	0.001538531	0.002036291	0.001674284	0.002081542	0.003077062	0.001719535	0.00149328	0.001267026	0.001267026	0.001267026	0.00099552	0.001945789	0.0024888	0.001402778	0.000678764	0.000724015	0.001176524	0.00149328
ASV24	0	0	0	0	0	0	0	0	0	0.000271505	0	0	0.000633513	0	0.000633513	0	0	0	0	0	0	0	0	0.000271505	0	0	0
ASV25	0	0	0	0	0	0	0	0	0	0	0.000181004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV36	0	0	0.000271505	0.000316756	0	0.000407258	0.000724015	0.000226255	0.000271505	0	0.000678764	0.001086022	0.000905018	0.001131273	0.001357527	0.000905018	0.000859767	0.00049776	0.00099552	0.000633513	0.000543011	0.001357527	0.000814516	0	0.000181004	0.000588262	0.000633513
ASV53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.52509E-05	0	0	0	0	0	0	0	0	0
ASV56	0	0	0	0	0	4.52509E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV73	0	0	0	0	0	0.000135753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV83	0	0.002398299	0.010452962	0	0.005384859	0.002126793	0.000950269	0.000271505	0.000633513	0.000407258	0.001583782	0.000724015	0.000950269	0.000588262	0.001583782	0.001402778	0.003167564	0.006787637	0.004072582	0.004525092	0.000814516	0.006606634	0.009774198	0.007783158	0.005158604	0.010905471	0.036245984
ASV84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181004	0	0	0	0
ASV88	0	0	0.000135753	0.000181004	0.000362007	0.000769266	0.000316756	0.000769266	0.000859767	0.003212815	0.008054663	0.001221775	0.001357527	0.00099552	0.000678764	0.000452509	0.000271505	0.000181004	0.001131273	0.000769266	0.000950269	0.001357527	0.000633513	0	0	0	0
ASV95	0	0.000362007	0.000316756	0.000543011	0.000859767	0.000362007	0.001583782	0.001538531	0.002443549	0.003891579	0.004117833	0.008280918	0.011131725	0.012896511	0.016064075	0.011719987	0.010452962	0.007194896	0.003982081	0.002669804	0.002579302	0.002217295	0.001855288	0.001312277	0.000859767	0.000905018	0.000769266
ASV106	0	0.000226255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV108	0	9.05018E-05	0.000181004	0.000181004	0.000226255	0.000452509	0.000135753	0.000452509	0	0.000588262	0.00099552	0.000814516	0.00099552	0.00149328	0.001131273	0.002850808	0.001312277	0.000859767	0.000859767	0.000814516	0.000769266	0.000678764	0.000588262	0.000135753	0.000678764	0.000407258	0.000226255
ASV118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000135753	9.05018E-05	0.000407258	0.000407258
ASV120	0	0	0.000543011	0.000588262	0.000407258	0.000452509	0.000724015	0.00099552	0.00099552	0.004163084	0.003801077	0.007828409	0.00841667	0.009231187	0.007104394	0.007828409	0.009231187	0.005882619	0.005746866	0.003710575	0.004525092	0.002760306	0.002669804	0.001402778	0.000859767	0.000407258	0.000543011
ASV122	0	0.000135753	4.52509E-05	0.000181004	0	0	0	4.52509E-05	0	9.05018E-05	0	0.000135753	0.000226255	0.000135753	0.000181004	0.000135753	0.000226255	0.000588262	0.000543011	0.000226255	0.000588262	0.000905018	0.000678764	0.00049776	0.000407258	0.001402778	0.000950269
ASV129	0	0.00149328	0.000181004	0	0.00298656	0.001086022	0.000226255	0	0.000452509	0.000135753	0.000724015	0.002126793	0.004253586	0.000226255	0.000814516	0.00099552	0.001131273	0.000543011	0.00199104	0.001357527	0.000724015	0.00099552	0.003122313	0.000814516	0.001131273	0.000950269	0.000678764
ASV146	0	0	0	0	0	0.000633513	0.001221775	0.001583782	0.001674284	0.002126793	0.004389339	0.007466401	0.009909951	0.007466401	0.010407711	0.006018372	0.006561383	0.004796597	0.004253586	0.003258066	0.001402778	0.00199104	0.001674284	0.000905018	0.000769266	0	0
ASV152	0	0	0	0	0	0	0	0	0	0	0	0	0.000226255	0	0	0.000226255	0.000271505	0.001040771	0.00099552	0.000859767	0.001448029	0.00099552	0.00099552	0.002307797	0.002534051	0.002850808	0.004344088
ASV157	0	0	0	0	0	0	0	0.000543011	0.001131273	0.001221775	0.002307797	0.004072582	0.005022852	0.00791891	0.007964161	0.007783158	0.007737907	0.007059143	0.003620073	0.003665324	0.003574822	0.00294131	0.001810037	0.001357527	0.001040771	0	0.000724015
ASV161	0	0	0.000181004	0.000226255	0.000181004	0.000226255	0.000588262	0.000633513	0.001357527	0.002036291	0.002398299	0.002579302	0.006108874	0.005746866	0.008009412	0.005022852	0.004887099	0.003982081	0.003212815	0.002172044	0.001583782	0.00099552	0.001176524	0.00049776	0.00049776	0.000226255	0
ASV169	0	0.000950269	0.001086022	0.001221775	0.000814516	0.000950269	0.000814516	0.000724015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV176	0	0	0	0	0	0	0	0	0	0	0	0.000226255	0.001764786	0.001086022	0.001131273	0.001040771	0.001221775	0.000678764	0.000724015	0.000316756	0.000135753	0	0	0	0.000181004	0	0
ASV181	0	0	0	0	0	0	0	0	0	0	0	0.000226255	0	4.52509E-05	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV184	0	0	0	9.05018E-05	0.000181004	0.000226255	0.00049776	0.000316756	0.000678764	0.000950269	0.000950269	0.002172044	0.002443549	0.003212815	0.004163084	0.003348568	0.003077062	0.002579302	0.001900538	0.002579302	0.003031811	0.0024888	0.001674284	0.001086022	0.000724015	0.000678764	0.000678764
ASV189	0	0.00049776	0.00149328	0	0.001402778	0.000633513	0	0.000769266	0.001086022	0.001086022	0.001267026	0.000678764	0.00199104	0.000678764	0.002760306	0.002081542	0.004208335	0.006968641	0.003801077	0.003665324	0.000633513	0.003031811	0.005701615	0.003348568	0.002534051	0.002217295	0.006832888
ASV207	0	0.000724015	0.000135753	0	0.000362007	0.000452509	0.000135753	0	0	4.52509E-05	0.000181004	0.000181004	0.000181004	0	0.000226255	0.00049776	0.003212815	0.001583782	0.009502692	0.006289877	0.002850808	0.007240147	0.016335581	0.002398299	0.003620073	0.000588262	0.000859767
ASV227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.52509E-05	0	0
ASV228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001810037	0.00099552
ASV229	0	0.000135753	0.000135753	0.000135753	0	0.000135753	0.000226255	0	0	4.52509E-05	9.05018E-05	0.000181004	0.000633513	0.000407258	0.000543011	0.000452509	0.00049776	0.000407258	0.00049776	0.000181004	0.000407258	0.000271505	0.000362007	0.000226255	0.000135753	0	0.000181004
ASV230	0	0	0	0.000226255	0	0	0	0	0	9.05018E-05	0	0	0	0	9.05018E-05	9.05018E-05	0	0	0	0	0	0.000135753	0	4.52509E-05	4.52509E-05	0	0
ASV236	0	0.000950269	0	0.000678764	0.001086022	0.00199104	0.001448029	0.001131273	0.001040771	0.001131273	0.003303317	0.004796597	0.003665324	0.002760306	0.003258066	0.001312277	0.001357527	0.001221775	0.000724015	0.000814516	0	0.000769266	0.000724015	0.000362007	0.000452509	0.000226255	0
ASV240	0	0.000543011	0.000814516	0.000769266	0.000769266	0.00099552	0.001176524	0.000724015	0.00049776	0.000362007	0	0.000905018	0.001086022	0.001131273	0.00149328	0.002081542	0.0024888	0.001312277	0.001583782	0.003122313	0.001855288	0.002036291	0.001764786	0.001131273	0.001040771	0.000814516	0.000543011
ASV250	0	0	0.000316756	0.000226255	0	0	0	0	0	0	0	0	0	0.000226255	0.000135753	0	0.000226255	0.00049776	0.000407258	0	0	0	0.00049776	0.000950269	0	0	0.000724015
ASV252	0	0	0	0	0	0.000226255	0.000226255	0.000407258	0.000905018	0.001312277	0.003665324	0.005249106	0.005882619	0.004208335	0.004525092	0.003031811	0.003303317	0.001719535	0.001855288	0.001312277	0.000588262	0.000407258	0.000316756	0.000135753	0.000181004	0	0
