Sample,date,tax_label,mean_rel_abund,mean
sample1,2022-04-05,*Acidovorax*,0.21795725616031966,0.6250601854685071
sample1,2022-04-05,*Bifidobacterium*,0.2462109745514722,0.7718842085045514
sample1,2022-04-05,*Candidatus_Microthrix*,42.24334524025751,16.572508272021935
sample1,2022-04-05,*Collinsella*,0.33702649795160544,0.9171921516494475
sample1,2022-04-05,*Dechloromonas*,0.04036245484450365,0.5935828241994345
sample1,2022-04-05,*Ferruginibacter*,0.21190288793364412,0.6918805480368627
sample1,2022-04-05,*Hyphomicrobium*,1.6467881576557486,1.3421399822106193
sample1,2022-04-05,*Iamia*,0.21593913341809448,0.9195638065549002
sample1,2022-04-05,*Longivirga*,0.2724465702003996,0.5226197584525807
sample1,2022-04-05,*Methanosaeta*,0.06457992775120583,0.5796673762182207
sample1,2022-04-05,*Mycobacterium*,0.5549837541119251,0.7498251193740132
sample1,2022-04-05,*Nitrospira*,0.020181227422251823,0.9664133831269824
sample1,2022-04-05,*Nordella*,1.5983532118423442,1.1986489788430603
sample1,2022-04-05,*Romboutsia*,1.4530483744021312,1.0035358373993588
sample1,2022-04-05,*Simplicispira*,0.11906924179128575,0.3901699130216283
sample1,2022-04-05,*Terrimonas*,0.2845553066537507,0.6644726300806033
sample1,2022-04-05,*Thauera*,0,0.36917998114796513
sample1,2022-04-05,*Trichococcus*,4.147242235272749,3.1365122818711373
sample1,2022-04-05,*unidentified_Caldilineaceae*,0.1917216605113923,1.0407829723398616
sample1,2022-04-05,Actinobacteria Genus of PeM15,1.7658573994470343,2.755898039947531
sample1,2022-04-05,Anaerolineae Genus of C10-SB1A,0.11099675082238503,0.2640053588327615
sample1,2022-04-05,Burkholderiales Genus of SC-I-84,0.5085669310407459,1.297114173829319
sample1,2022-04-05,Chloroflexi Genus of OLB14,0.4258238986095135,1.6816085671473981
sample1,2022-04-05,Flavobacteriales Genus of NS9_marine_group,0.6437811547698331,0.9059129042078556
sample1,2022-04-05,Gammaproteobacteria Genus of Run-SP154,0.6336905410587071,2.6335148874738517
sample1,2022-04-05,Genus of Actinobacteria,0.8637565336723779,0.7126946461146075
sample1,2022-04-05,Genus of Caldilineaceae,0.8274303243123248,4.411204707392569
sample1,2022-04-05,Genus of Chloroflexaceae,0.177594801315816,0.509813734457172
sample1,2022-04-05,Genus of Comamonadaceae,0.5045306855562955,1.6405102162494207
sample1,2022-04-05,Genus of Intrasporangiaceae,6.516518334645113,5.010608469695935
sample1,2022-04-05,Genus of Kineosporiaceae,0.5448931404007992,0.6569083750018746
sample1,2022-04-05,Genus of Micrococcales,1.8324554499404653,1.6418298495456767
sample1,2022-04-05,Genus of Microtrichaceae,0.510585053782971,1.387385172656866
sample1,2022-04-05,Genus of Microtrichales,0.20786664244919376,1.3823951177390017
sample1,2022-04-05,Genus of Propionibacteriaceae,2.0342677241629836,0.8792396657092159
sample1,2022-04-05,Genus of Rhodobacteraceae,4.351072632237493,2.657419448875585
sample1,2022-04-05,Genus of Saccharimonadales,0.8254122015700995,1.5574194736276132
sample1,2022-04-05,Genus of Saprospiraceae,1.162438699521705,2.160915937332617
sample1,2022-04-05,Ignavibacteria Genus of SJA-28,0.16548606486246495,0.5225866721513354
sample1,2022-04-05,Ilumatobacteraceae CL500-29_marine_group,0.2280478698714456,0.930435459719942
sample1,2022-04-05,Microtrichaceae IMCC26207,0.47425884442291777,1.9551873403156141
sample1,2022-04-05,Other max.<1%,14.223729087203084,0.004636330084802926
sample1,2022-04-05,Saprospiraceae OLB8,3.333938770156001,0.6012212433047679
sample1,2022-04-05,Solirubrobacterales unidentified_67-14,0.6922161005832375,1.6640872308775274
sample1,2022-04-05,Spongiibacteraceae BD1-7_clade,0.0787067869467821,0.6189779620413468
sample1,2022-04-05,Thermomicrobiales Genus of JG30-KF-CM45,2.490363463905875,4.824373786433909
sample10,2022-08-08,*Acidovorax*,0.24824824824824826,0.6250601854685071
sample10,2022-08-08,*Bifidobacterium*,0.5365365365365365,0.7718842085045514
sample10,2022-08-08,*Candidatus_Microthrix*,2.4904904904904908,16.572508272021935
sample10,2022-08-08,*Collinsella*,0.49249249249249244,0.9171921516494475
sample10,2022-08-08,*Dechloromonas*,0.47047047047047047,0.5935828241994345
sample10,2022-08-08,*Ferruginibacter*,0.8768768768768769,0.6918805480368627
sample10,2022-08-08,*Hyphomicrobium*,2.002002002002002,1.3421399822106193
sample10,2022-08-08,*Iamia*,1.0710710710710711,0.9195638065549002
sample10,2022-08-08,*Longivirga*,0.7867867867867868,0.5226197584525807
sample10,2022-08-08,*Methanosaeta*,0.15815815815815815,0.5796673762182207
sample10,2022-08-08,*Mycobacterium*,1.8618618618618619,0.7498251193740132
sample10,2022-08-08,*Nitrospira*,0.6126126126126126,0.9664133831269824
sample10,2022-08-08,*Nordella*,1.8278278278278277,1.1986489788430603
sample10,2022-08-08,*Romboutsia*,1.7097097097097096,1.0035358373993588
sample10,2022-08-08,*Simplicispira*,0,0.3901699130216283
sample10,2022-08-08,*Terrimonas*,0.6486486486486486,0.6644726300806033
sample10,2022-08-08,*Thauera*,0.45045045045045046,0.36917998114796513
sample10,2022-08-08,*Trichococcus*,1.1471471471471473,3.1365122818711373
sample10,2022-08-08,*unidentified_Caldilineaceae*,0.9469469469469469,1.0407829723398616
sample10,2022-08-08,Actinobacteria Genus of PeM15,6.0240240240240235,2.755898039947531
sample10,2022-08-08,Anaerolineae Genus of C10-SB1A,0.10010010010010009,0.2640053588327615
