Kingdom,Phylum,Class,Order,Family,Genus,sample1,sample26,sample25,sample2,sample24,sample6,sample27,sample5,sample4,sample23,sample3,sample22,sample10,sample7,sample20,sample8,sample9,sample11,sample19,sample18,sample15,sample14,sample21,sample13,sample16,sample12,sample17
Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Candidatus_Microthrix,7.165724874335521,6.98207322172917,6.566535358219392,6.522701469321364,6.465641865162944,6.259141582102378,6.21914452193417,6.172309688916717,6.128496753167669,6.087066025231573,5.7417796357816755,5.731105925629988,3.6676246645876094,5.647924838239671,5.595162661569596,5.270239367041178,4.796611251381338,4.024649073097977,4.846580735049896,4.7920416462065205,2.581085044867838,2.1217245800634927,4.499908325556439,2.495639133902576,3.2887537212834625,3.1572994317250487,3.5382234691958723
Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,Genus of Caldilineaceae,3.2348537560967063,4.88090910186136,4.410371380960777,4.838634426600677,4.550173120937163,4.647781776907587,5.704522990668679,5.487658124543634,1.2430706525500144,4.555353546520507,5.570511747472291,3.82996811218259,3.7835452676122663,2.6778120049971594,3.939012905581449,3.9644689830707875,4.251349923560728,4.063010758201939,3.6512591221196167,4.3650411142942165,3.6297868585129773,2.3621791971801747,1.6661852699688078,3.50591964784459,3.2480209581468342,2.9967145460792963,3.732189983580673
Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,Genus of JG30-KF-CM45,4.335346914931425,3.1434265878514633,3.4858281209305444,4.3638182350596075,3.3185970696732188,4.390752942470339,3.166791516291479,4.106205283622835,4.272360484618087,3.5166582542928158,3.6865419080947683,3.4097290640462488,5.679899795478697,4.402003827876346,3.882910938083466,4.883484920076672,5.108338018261197,4.935617112227239,3.667577039387322,4.035595709301389,4.726382797779982,4.517757106660971,3.1585348439182073,4.425117604080889,3.877201024389851,3.8358645351718095,3.8479783454906786
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Genus of Intrasporangiaceae,5.29683820596711,4.925390956363584,4.538222522192834,4.857085820132129,4.469229715374183,4.424627301554323,4.407866192111374,4.557992132401429,4.543754421265236,4.3603162917272,4.4381551467481355,4.242749876194227,4.112251740611155,4.188746158073401,4.476021507731733,4.425274511354209,4.317738272730067,4.33741981348514,4.239789323284353,4.357558275351613,3.9315246652380393,3.8072905711090987,4.264787001107599,3.9171723353457035,4.2590267686674075,3.9874247006095764,4.21746561936677
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Trichococcus,4.845090094595792,5.162531223300704,4.913526613926763,4.489932310164245,5.076008702398255,3.7014670061491146,4.666990157490037,3.873491864257497,3.797262364486696,4.1944042219682665,3.9299898507596365,4.298692290222517,2.8932191584662243,3.190189572464444,4.350111309238786,3.385251599864327,2.8971811738883995,2.3393092311150436,3.7941032330030104,3.3557266070231178,3.057037983349267,2.284182241847609,4.045105990112935,2.5211822797534724,3.3451881299713175,2.7728319803255834,3.0824963109650225
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Genus of Rhodobacteraceae,4.89304976304796,4.017933050462993,4.024264554440527,4.470655209717515,3.9595128839179274,3.6660923341568705,3.695576143213866,3.8208853222870816,4.179056603822591,3.674139397766748,4.151316416027701,3.838558637623943,3.6867206544538598,3.549749061868924,3.757665940158294,3.535025073184258,3.59157217484031,3.4059969914155475,3.421894032964038,3.362860069252403,3.3677648031586216,3.295860167811031,3.7148748081248675,3.321054291609563,3.2887537212834625,3.456224239349564,3.2379954556864603
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,OLB8,4.6269005683324345,1.6224343968205481,0.5624425509619364,4.880536660126213,0.6344263416923797,2.414837061673019,1.5164541189509269,2.6298463910792833,3.1628897592916525,1.0323667939992482,3.56007474059901,0.6835952152572897,-0.5228121156028473,2.316064219401971,-0.24473915750092168,1.8837141028193498,0.4453942215600035,-3.6777651443387134,-1.0088268653127903,-1.9620327311246557,-3.7828412265529483,-2.691719113940387,0.735553983668991,-2.303895067673844,-2.5656084443208202,-3.9069819637049177,-3.902793265032508
Bacteria,Actinobacteriota,Actinobacteria,PeM15,Family of PeM15,Genus of PeM15,3.9918335899611437,3.3589113492171023,3.252272205950618,3.519535603264873,3.094174879576756,3.3148822188008706,2.8947592454693227,3.1601665037584707,2.905019366681496,3.091062992447868,2.794694143290152,3.1091005338252895,4.5505014846076275,3.244552140915666,3.4623100054373586,3.646845849636588,4.3096168319417645,4.709248578327729,3.4423759099894347,3.613091940017623,4.0924853341373275,3.920668568877681,3.0130523034077172,4.368103187643724,3.545303585075603,4.237185032376432,3.7273643105477228
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,Genus of NS9_marine_group,2.9844706473394167,4.694845559707201,3.7970276695353173,3.5180525953294683,3.8314651209386144,2.4116861670766223,3.4492461157986325,2.3877710791752067,2.813549885309179,2.992003335726773,2.9964277456700907,2.708267393717801,1.4148824959705948,2.1962695041581473,2.193459995251885,1.7875388465739697,1.5630880745594524,1.6306009130301389,1.833135878404267,1.821312075733581,1.7198865550443925,1.2649661225889552,2.2497039240294567,1.623069149171588,1.6208942531068402,1.9105895207225796,1.968329437342728
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Genus of Comamonadaceae,2.7414648943437774,4.5378975775899795,4.331845366447681,3.4505221276220004,4.320348881460626,3.2889696849587553,4.242416940698632,2.942419855095938,3.193586948312289,3.5649883484659077,3.6006530851497716,3.5861728963589385,2.1237764295767763,3.1430891476897846,3.275397029783398,2.5686472636244195,2.2035141966357834,2.2056151528181918,2.7936797556211523,2.7238609301557686,2.5902436896040575,2.368977198073244,3.430662495375247,2.4493058414737234,2.6975946891915967,2.5500023826325986,2.7698463208697
