sampleID,date
sample1,2022-04-05
sample2,2022-04-14
sample3,2022-05-03
sample4,2022-05-16
sample5,2022-05-30
sample6,2022-06-13
sample7,2022-06-27
sample8,2022-07-12
sample9,2022-07-25
sample10,2022-08-08
sample11,2022-08-15
sample12,2022-08-29
sample13,2022-09-12
sample14,2022-09-26
sample15,2022-10-10
sample16,2022-10-24
sample17,2022-11-01
sample18,2022-11-14
sample19,2022-11-29
sample20,2022-12-19
sample21,2023-01-02
sample22,2023-01-10
sample23,2023-01-16
sample24,2023-02-20
sample25,2023-02-27
sample26,2023-04-11
sample27,2023-04-11
